war thing 61 war thing 51
was thing 46 was king 53
was am 59 was am 43
was am 41 was am 258
was am 49 was thing 85
was king 1426 was thing 182
was thing 43 was to 48
was sea 46 was am 100
was thing 884 was king 49
was of 119 was am 290
was do 191 was no 65
was thing 63 was thing 91
was am 144 was king 152
was thing 308 was am 43
was re 42 was am 80
was thing 445 was thing 52
way am 49 way am 134
way am 62 way do 41
way do 677 way thing 50
weak am 42 who am 88
who thing 48 who am 90
who wing 41 who thing 50
who tia 58 who thing 49
who thing 76 who am 452
who do 55 who am 41
who do 57 who am 105
who king 154 who king 596
who king 44 who do 79
who am 168 why thing 44
why am 93 why do 80
why in 115 why at 85
why be 2543 why do 1893
why eat 82 why go 2019
why at 46 why do 1044
why go 1323 why as 167
why be 511 why do 98
why go 54 why be 74
why at 91 why in 221
why the 61 why do 68
with am 1383 with do 164
with am 405 with do 103
with am 53 with am 46
with am 71 with am 71
with thing 96 with am 194
with do 384 with am 66
with do 150 with am 285
with do 128 with am 123
with do 117 with am 555
with do 602 with am 111
with do 250 with do 46
with am 478 with do 291
with am 268 with do 186
with thing 82 with am 104
with or 68 with on 107
with am 43 with am 67
with do 98 with do 50
with am 43 with am 430
with do 434 with am 96
with do 149 with am 394
with do 229 with am 300
with do 309 with do 125
with am 72 with do 88
with do 41 with am 49
with am 141 with wing 52
with am 1065 with do 909
with am 267 with do 420
with am 57 with am 114
with am 451 with do 278
with am 708 with do 456
