sales b less returns 108
saved a down payment 47
saved a vast effusion 52
saved a very painful 59
saves a very material 41
scale i have adopted 92
scene i have related 78
scene i have visited 71
score a clear victory 45
score a goal against 228
score a great success 428
score a great triumph 50
score a great victory 372
score a huge success 53
score a single victory 40
score a test century 122
scoring a goal against 85
scoring a great success 218
scoring a great victory 50
sealed a bond between 94
sealed a firm alliance 54
sealed a pact between 85
sealed i have wrought 104
search a wide variety 225
seeds i have planted 69
seeking a clear general 79
seeking a clear picture 55
seeking a fair solution 75
seeking a firm foothold 54
seeking a good location 44
seeking a good position 58
seeking a high profile 110
seeking a high quality 81
seeking a just society 49
seeking a just solution 110
seeking a less demanding 42
seeking a life partner 91
seeking a link between 120
seeking a means whereby 70
seeking a mild climate 51
seeking a more complex 98
seeking a more congenial 215
seeking a more dynamic 69
seeking a more fertile 63
seeking a more general 193
seeking a more healthful 57
seeking a more intense 64
seeking a more liberal 109
seeking a more meaningful 149
seeking a more natural 94
seeking a more peaceful 130
seeking a more perfect 146
seeking a more precise 141
seeking a more promising 57
seeking a more radical 116
seeking a more rational 162
seeking a more relaxed 73
seeking a more thorough 137
seeking a rate increase 107
seeking a rich marriage 46
seeking a safe passage 46
seeking a single solution 47
seeking a wage increase 125
seeking a wide variety 166
seeking a wife outside 64
seeking a zoning variance 44
seeks a link between 41
seeks a more congenial 64
seeks a more general 50
seeks a more precise 66
seeks a more radical 59
seeks a wide variety 51
seems a clear allusion 75
seems a clear example 272
seems a clear violation 86
seems a dull creature 81
seems a fair account 43
seems a fair analogy 62
seems a fair average 173
seems a fair bargain 42
seems a fair comment 133
seems a fair deserving 353
seems a fair exchange 199
seems a fair general 43
seems a fair question 275
seems a fair rendering 83
seems a fair summary 199
seems a fair surmise 54
seems a fate against 42
seems a fine example 49
seems a good average 62
seems a good bargain 56
seems a good beginning 144
seems a good example 600
seems a good general 43
seems a good national 74
seems a good occasion 61
seems a good solution 201
seems a great admirer 45
seems a great mistake 214
seems a great mystery 98
seems a great paradox 41
seems a great stretch 48
seems a great success 60
seems a great tragedy 46
seems a joke against 49
seems a lame account 72
seems a link between 79
seems a mere caprice 52
seems a mere quibble 51
seems a mere rivulet 71
seems a mere wandering 74
seems a moot question 116
seems a more complex 81
seems a more correct 105
seems a more feasible 77
seems a more general 90
seems a more hopeful 82
seems a more logical 430
seems a more meaningful 91
seems a more natural 1517
seems a more precise 76
seems a more promising 486
seems a more rational 186
seems a more reliable 154
seems a more typical 41
seems a most logical 48
seems a most natural 221
seems a most peculiar 81
seems a most promising 140
seems a most unusual 192
seems a much simpler 87
seems a much smaller 93
seems a much stronger 71
seems a pity because 103
seems a slow process 90
seems a step forward 56
seems a step towards 55
seems a very ancient 84
seems a very awkward 62
seems a very capable 70
seems a very complex 47
seems a very distant 113
seems a very epitome 85
seems a very extreme 94
