um a 122 um a
154 um a 127 up
a 101 up a 46
up a 2196 up a
45 up i 45 up
a 221 up a 414
up i 2786 up a
580 up a 185 up
a 726 up i 1148
up a 319 up a
1153 up a 1072 up
a 216 up a 725
up a 956 up a
90 up a 706 up
n 49 up a 1993
up a 99 up a
981 up a 124 up
a 5086 up a 185
up a 162 up a
824 up a 1022 up
a 48 up a 226
up a 120 up a
419 up a 130 up
a 69 up a 422
up a 120 up a
6794 up a 14286 up
a 6146 up a 14472
up a 61 up a
3055 up a 182 up
a 359 up a 1569
up a 154 up i
546 up a 43 up
a 194 up a 380
up a 693 up a
387 up a 1285 up
a 4553 up a 44
up a 307 up a
99 up a 2228 up
a 162 up i 1974
up a 62 up i
135 up a 427 up
i 105 up a 168
up a 721 up a
67 up a 42 up
a 14735 up a 3197
up a 243 up a
5297 up a 141 up
a 6130 up a 1659
up a 274 up a
54366 up i 484 up
a 2838 up i 3177
up a 7645 up i
70 up a 2185 up
a 51 up a 201
up a 274 up a
71 up a 160 up
a 60 up a 55
up a 1880 up i
4365 up a 2432 up
i 8602 up a 174
up a 363 up a
861 up a 3781 up
a 2103 up a 2241
up a 669 up i
71 up a 285 up
a 13394 up a 133
up i 154 up a
56 up i 108 up
a 152 up a 105
up a 463 up a
53 up a 103 up
a 315 up a 44
up a 51 up a
105 up a 91 up
a 56 up a 48
up a 68 up a
111 up a 208 up
a 159 up i 60
up a 684 up a
144 up a 48 up
a 223 up i 199
up i 242 up i
279 up a 590 up
a 96 up a 128
up i 61 up a
156 up i 41 up
a 84 up i 54
up a 80 up a
181 up a 315 up
a 60 up a 90
up a 138 up a
134 up a 40 up
a 219 up a 126
up a 277 up i
477 up i 1167 up
a 193 up i 164
up a 3180 up a
143 up a 105 up
a 74 up a 127
up i 254 up a
2657 up i 138 up
a 9855 up i 162
up i 64 up a
40 up a 67 up
a 137 up i 106
up e 441 up a
160 up i 309 up
a 299 up a 8383
up i 119 up i
159 up a 280 up
i 450 up a 49
up a 155 up a
159 up i 76 up
a 1297 up a 5542
up i 294 up a
228 up a 100 up
a 44 up a 104
up a 113 up a
141 up a 207 up
a 100 up a 45
up a 46 up a
262 up a 85 up
a 128 up a 902
up i 77 up a
148 up i 52 up
a 40 up a 101
up r 84 up a
119 up i 44 up
a 91 up a 100
up a 45 up a
56 up a 504 up
i 49 up a 130
up a 1112 up a
199 up a 257 up
a 40 up a 215
up a 202 up a
417 up a 116 up
a 1073 up a 180
up i 2062 up i
134 up a 1059 up
i 42 up i 1159
up a 100 up a
1575 up a 1455 up
i 152 up a 889
up i 115 up a
200 up a 113 up
i 152 up a 830
up a 203 up a
85 up a 143 up
i 40 up a 43
up a 779 up a
144 up a 41 up
a 1914 up a 610
up a 101 up a
183 up a 237 up
i 113 up a 114
up a 73 up a
170 up i 97 up
a 96 up i 264
up a 448 up a
266 up a 460 up
a 267 up i 54
up a 358 up a
243 up i 271 up
a 44 up a 47
up a 228 up i
639 up a 208 up
a 637 up a 519
up a 1261 up i
119 up a 418 up
i 1106 up a 211
up i 40 up a
264 up i 52 up
a 126 up a 254
up i 339 up a
177 up a 43 up
i 285 up a 645
up a 101 up a
104 up a 185 up
a 145 up a 130
up a 40 up a
2650 up i 123 up
i 96 up a 144
up a 422 up a
2561 up a 56 up
a 325 up i 1197
up a 133 up a
305 up a 244 up
a 288 up a 174
up i 269 up a
181 up i 966 up
o 72 up a 137
up a 3607 up a
1189 up a 452 up
i 89 up a 3048
up a 129 up a
73 up a 2137 up
i 744 up a 5572
up i 1486 up i
153 up m 377 up
i 329 up a 867
up a 59 up i
112 up o 114 up
a 53 up a 107
up a 78 up i
707 up a 3423 up
i 844 up a 58
up i 277 up a
204 up i 177 up
a 43 up a 11536
up i 231 up a
164 up a 107 up
a 427 up i 833
up i 474 up i
113 up a 78 up
a 96 up i 48
up a 134 up a
387 up a 44 up
a 119 up a 181
us a 70 us a
405 us a 449 us
i 899 us a 161
us a 132 us i
89 us a 2542 us
a 96 us a 74
us a 43 us a
55 us a 53 us
a 50 us a 686
us i 729 us f
59 us v 248 us
a 200 us a 5164
us a 68 us i
145 us a 241 us
a 45 us a 104
us a 135 us a
200 us a 54 us
a 946 us a 484
us a 192 us a
1247 us a 832 us
a 42 us a 69
us i 169 us a
42 us a 56 us
i 42 us a 1059
us i 286 us a
43 us a 490 us
a 56 us a 42
us a 234 us a
76 us i 52 us
a 184 us a 125
us a 429 us i
1320 us a 555 us
a 283 us i 634
us a 49 us a
656 us i 45 us
a 1000 us i 115
us a 616 us a
248 us a 97 us
a 73 us a 44
us a 232 us a
341 us a 199 us
a 106 us i 63
us a 54 us a
87 us i 413 us
a 875 us a 81
us i 872 us a
1722 us a 48 us
a 63 us a 1053
us a 101 us a
154 us a 173 us
i 52 us a 72
us a 365 us a
171 us a 62 us
a 43 us a 43
us a 405 us a
47 us a 42 us
a 70 us a 105
us a 45 us a
130 us a 211 us
a 131 us a 106
us a 663 us a
71 us a 43 us
a 48 us a 55
us a 1099 us a
69 us a 492 us
a 83 us a 107
us i 47 us a
343 us a 163 us
a 116 us a 57
us a 60 us a
61 us a 168 us
a 118 us a 64
us a 76 us a
1121 us a 71 us
a 55 us a 49
