ian . 41 ian
. 63 ib .
140 ib . 169
ib . 55 ic
. 2083 ic .
99 ic . 189
ic . 159 ic
. 85 ic .
42 ic . 96
ic . 58 ic
. 51 id .
130 id . 1085
id . 41 id
. 51 id .
129 id . 566
id . 1134 ie
. 432 ie .
103 ie . 70
ie . 52 ie
. 169 ie .
78 ie . 62
ie . 110 if
. 1992 if .
158 if . 92
if . 42 if
! 85 if .
63 if . 67
if . 573 if
. 55 if .
73 if . 71
if . 360 if
. 58 if .
102 if . 335
if . 114 if
. 83 if .
125 if . 141
if . 1061 if
. 45 if .
96 if . 255
if . 260 if
. 59 if .
1200 if . 57
if . 166 if
. 70 if .
147 if . 48
if . 275 if
. 103 if .
110 if . 69
if . 726 if
. 115 if .
149 if . 204
if . 232 if
. 74 if .
53 if . 2859
if . 67 if
. 49 if .
173 if ! 40288
if . 504 if
. 50 if .
61 if . 426
if . 145 if
. 56 if .
58 if . 245
if . 281 if
. 82 if .
124 if . 446
if . 250 if
. 1118 if .
119 if . 593
if . 840 if
. 313 if .
44 if . 70
if . 575 if
. 253 if .
61 if . 174
if . 205 if
. 179 if .
419 if . 312
if . 142 if
. 463 if .
102 if . 44
if . 48 if
. 745 if .
192 if . 87
if . 168 if
. 294 if .
81 if . 91
if . 62 if
. 66 if .
204 if . 275
if . 90 if
. 45 if .
150 if . 101
if . 167 if
. 376 if .
81 if . 55
if . 592 if
. 1714 if .
374 if . 67
if . 183 if
. 8636 if .
44 if . 3397
if . 119 if
. 2490 if .
1379 if . 204
if . 168 if
. 50 if .
134 if . 207
if . 249 if
. 43 if .
152 if . 445
if . 294 if
. 643 if .
220 if . 162
if . 256 if
. 87 if .
131 if . 758
if . 209 if
. 71 if .
123 if . 45
if . 100 if
! 8369 if .
551 if . 131
if . 227 if
. 109 if .
365 if . 734
if . 79 if
. 68 if .
805 if . 58
if . 40 if
. 62 if .
118 if . 473
if . 87 if
. 253 if .
233 if . 239
if . 635 if
. 72 if .
186 if . 283
if . 370 if
. 224 if .
100 if . 61
if . 57 if
. 48 if .
197 if . 103
if . 97 if
. 51 if .
190 if . 871
if . 971 if
. 266 if .
2326 if . 498
if . 75 if
. 1321 if .
700 if . 134
if . 1822 if
. 293 if .
120 if . 183
if . 146 if
. 80 if .
1898 if . 251
if . 240 if
. 51 if .
42 if . 360
if . 162 if
. 102 if !
1786 if . 224
if . 93 if
. 113 if .
57 if . 216
