gave reflection 40 germ generation 145
girl whispered 43 girl boyfriend 57
girl distinguish 63 girl innocence 130
giving inference 57 glad perceived 145
gold waistcoat 614 gold appearance 40
good conversion 48 good employees 195
good protested 43 good considers 66
good irregular 65 good repetition 49
good necessary 150 gown shoulders 51
gown shoulders 51 gray shoulders 56
great determine 80 great themselves 47
great delivered 63 great shoulders 46
great reservoir 48 great witnessed 54
great continent 114 great distances 41
great gradually 50 great swallowed 41
