war . 70 war .
124 war . 50 war
. 83 war . 92
was . 165 was .
239 was . 54 was
. 51 was . 132
was . 230 was .
55 was . 40 was
. 123 was . 186
was . 716 was .
48 was . 526 was
. 108 was . 809
was . 101 was .
150 was . 212 was
. 52 was . 78
was . 278 was .
104 was . 442 was
. 67 was . 162
was . 50 was .
108 was . 492 was
. 63 was . 53
was . 1238 was .
45 was . 979 was
. 57 was . 65
was . 119 was .
1386 was . 135 was
. 1594 was . 71
was . 55 was .
60 was . 45 was
. 82 was . 3379
was . 200 was .
49 was . 40 was
. 55 was . 77
was . 968 was .
218 was . 46 was
. 54 was . 181
was . 68 was .
214 was . 87 was
. 73 was . 71
was . 71 was .
254 was . 79 was
. 53 was . 159
was . 116 was .
59 was . 77 was
. 93 was . 85
was . 207 was .
876 was . 46 was
. 83 was . 266
was . 50 was .
118 was . 56 was
. 133 was . 83
was . 375 was .
360 was . 1327 was
. 77 was . 48
was . 60 was .
47 was . 51 was
. 42 was . 47
was . 42 was .
100 was . 679 was
. 176 was . 239
was . 45 was .
130 was . 59 was
. 133 was . 365
was . 296 was .
78 was . 775 was
. 78 was . 258
was . 547 was .
468 was . 110 was
. 84 was . 50
was . 266 was .
390 was . 250 was
. 148 was . 50
was . 10099 was .
77 was . 60 was
. 345 was . 56
was . 46 was .
96 was . 302 was
. 141 was . 89
was . 53 was .
70 was . 153 was
. 344 was ! 9324
was . 127 was .
49 was . 40 was
. 68 was . 129
was . 73 was .
97 was . 102 was
. 2000 was . 114
was . 80 was .
89 was . 54 was
. 138 was . 97
was . 82 was .
52 was . 90 was
. 340 was . 1188
was . 113 was .
113 was . 124 was
. 93 was . 65
was . 55 was .
43 was . 44 was
. 1106 was . 395
was . 70 was .
156 was . 68 was
. 91 was . 105
was . 47 was .
65 was . 142 was
. 1751 was . 111
was . 47 was .
115 was . 97 was
. 1866 was . 44
was . 48 was !
526 was . 215 was
. 41 was . 48
was . 46 was .
2576 was . 42 was
. 228 was . 81
was . 64 was .
479 was . 47 was
. 58 was . 59
was . 160 was .
50 was . 2380 was
. 74 was . 95
was . 62 was .
46 was . 57 was
. 126 was . 55
was . 114 was .
64 was . 70 was
. 62 was . 2138
